strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
afghani krush,creative,euphoric,focused,giggly,happy,depression,fatigue,musclespasms,pain,stress,none,none,none,none,none,none,none,none,hybrid,"creative, euphoric, focused, giggly, happy, depression, fatigue, musclespasms, pain, stress, none, none, none, none, none, none, none, none, hybrid"
afghanica,euphoric,relaxed,creative,happy,sleepy,stress,pain,insomnia,depression,nausea,drymouth,dryeyes,dizzy,anxious,paranoid,tea,sweet,woody,hybrid,"euphoric, relaxed, creative, happy, sleepy, stress, pain, insomnia, depression, nausea, drymouth, dryeyes, dizzy, anxious, paranoid, tea, sweet, woody, hybrid"
afghanimal,hungry,relaxed,aroused,focused,sleepy,eyepressure,headaches,insomnia,nausea,pain,dryeyes,drymouth,anxious,none,none,citrus,skunk,none,indica,"hungry, relaxed, aroused, focused, sleepy, eyepressure, headaches, insomnia, nausea, pain, dryeyes, drymouth, anxious, none, none, citrus, skunk, none, indica"
afgoo,relaxed,euphoric,sleepy,happy,uplifted,stress,pain,depression,insomnia,lackofappetite,drymouth,dryeyes,dizzy,anxious,paranoid,earthy,sweet,pine,indica,"relaxed, euphoric, sleepy, happy, uplifted, stress, pain, depression, insomnia, lackofappetite, drymouth, dryeyes, dizzy, anxious, paranoid, earthy, sweet, pine, indica"
afgooey,relaxed,happy,sleepy,hungry,creative,stress,pain,insomnia,depression,musclespasms,drymouth,dryeyes,dizzy,paranoid,headache,pine,earthy,grape,indica,"relaxed, happy, sleepy, hungry, creative, stress, pain, insomnia, depression, musclespasms, drymouth, dryeyes, dizzy, paranoid, headache, pine, earthy, grape, indica"
afkansastan,euphoric,giggly,happy,uplifted,hungry,cramps,depression,headaches,pain,nausea,dryeyes,drymouth,anxious,dizzy,paranoid,cheese,diesel,sweet,indica,"euphoric, giggly, happy, uplifted, hungry, cramps, depression, headaches, pain, nausea, dryeyes, drymouth, anxious, dizzy, paranoid, cheese, diesel, sweet, indica"
afpak,relaxed,happy,hungry,euphoric,tingly,depression,stress,lackofappetite,fatigue,inflammation,dizzy,none,none,none,none,pungent,sweet,skunk,hybrid,"relaxed, happy, hungry, euphoric, tingly, depression, stress, lackofappetite, fatigue, inflammation, dizzy, none, none, none, none, pungent, sweet, skunk, hybrid"
african,happy,giggly,euphoric,relaxed,energetic,stress,depression,lackofappetite,fatigue,headaches,drymouth,dryeyes,paranoid,headache,anxious,pungent,spicy/herbal,earthy,sativa,"happy, giggly, euphoric, relaxed, energetic, stress, depression, lackofappetite, fatigue, headaches, drymouth, dryeyes, paranoid, headache, anxious, pungent, spicy/herbal, earthy, sativa"
afrodite,happy,hungry,relaxed,energetic,giggly,depression,lackofappetite,pain,stress,cramps,anxious,drymouth,dizzy,dryeyes,paranoid,earthy,sweet,woody,hybrid,"happy, hungry, relaxed, energetic, giggly, depression, lackofappetite, pain, stress, cramps, anxious, drymouth, dizzy, dryeyes, paranoid, earthy, sweet, woody, hybrid"
afternoon delight,relaxed,hungry,happy,creative,focused,depression,pain,stress,insomnia,cramps,headache,drymouth,paranoid,dizzy,anxious,grapefruit,flowery,pine,hybrid,"relaxed, hungry, happy, creative, focused, depression, pain, stress, insomnia, cramps, headache, drymouth, paranoid, dizzy, anxious, grapefruit, flowery, pine, hybrid"
afwreck,relaxed,euphoric,hungry,focused,happy,stress,pain,depression,insomnia,musclespasms,drymouth,dryeyes,dizzy,headache,paranoid,earthy,pungent,diesel,hybrid,"relaxed, euphoric, hungry, focused, happy, stress, pain, depression, insomnia, musclespasms, drymouth, dryeyes, dizzy, headache, paranoid, earthy, pungent, diesel, hybrid"
agape,energetic,tingly,aroused,happy,sleepy,eyepressure,fatigue,headaches,inflammation,lackofappetite,anxious,headache,none,none,none,orange,mango,grape,sativa,"energetic, tingly, aroused, happy, sleepy, eyepressure, fatigue, headaches, inflammation, lackofappetite, anxious, headache, none, none, none, orange, mango, grape, sativa"
agent orange,happy,uplifted,relaxed,creative,energetic,stress,depression,pain,headaches,fatigue,drymouth,dryeyes,paranoid,dizzy,anxious,orange,citrus,sweet,hybrid,"happy, uplifted, relaxed, creative, energetic, stress, depression, pain, headaches, fatigue, drymouth, dryeyes, paranoid, dizzy, anxious, orange, citrus, sweet, hybrid"
agent tangie,creative,euphoric,focused,happy,uplifted,stress,depression,fatigue,headaches,inflammation,dryeyes,drymouth,anxious,none,none,citrus,earthy,skunk,hybrid,"creative, euphoric, focused, happy, uplifted, stress, depression, fatigue, headaches, inflammation, dryeyes, drymouth, anxious, none, none, citrus, earthy, skunk, hybrid"
air jordan og,relaxed,happy,euphoric,creative,giggly,stress,pain,depression,insomnia,headaches,drymouth,dizzy,headache,dryeyes,none,pine,earthy,woody,indica,"relaxed, happy, euphoric, creative, giggly, stress, pain, depression, insomnia, headaches, drymouth, dizzy, headache, dryeyes, none, pine, earthy, woody, indica"
alaska,energetic,creative,uplifted,talkative,euphoric,depression,stress,pain,headaches,nausea,drymouth,dryeyes,anxious,headache,dizzy,earthy,mint,citrus,sativa,"energetic, creative, uplifted, talkative, euphoric, depression, stress, pain, headaches, nausea, drymouth, dryeyes, anxious, headache, dizzy, earthy, mint, citrus, sativa"
alaska thunder grape,creative,euphoric,focused,relaxed,tingly,eyepressure,pain,stress,none,none,none,none,none,none,none,grape,pepper,skunk,hybrid,"creative, euphoric, focused, relaxed, tingly, eyepressure, pain, stress, none, none, none, none, none, none, none, grape, pepper, skunk, hybrid"
alaskan ice,energetic,euphoric,hungry,talkative,happy,stress,depression,pain,fatigue,headaches,drymouth,headache,dryeyes,dizzy,paranoid,woody,pungent,spicy/herbal,sativa,"energetic, euphoric, hungry, talkative, happy, stress, depression, pain, fatigue, headaches, drymouth, headache, dryeyes, dizzy, paranoid, woody, pungent, spicy/herbal, sativa"
alaskan thunder fuck,happy,uplifted,euphoric,energetic,relaxed,stress,depression,pain,fatigue,headaches,drymouth,dryeyes,anxious,paranoid,headache,earthy,pine,woody,sativa,"happy, uplifted, euphoric, energetic, relaxed, stress, depression, pain, fatigue, headaches, drymouth, dryeyes, anxious, paranoid, headache, earthy, pine, woody, sativa"
albert walker,relaxed,happy,euphoric,uplifted,focused,stress,depression,pain,insomnia,lackofappetite,headache,drymouth,dryeyes,dizzy,paranoid,pungent,skunk,flowery,hybrid,"relaxed, happy, euphoric, uplifted, focused, stress, depression, pain, insomnia, lackofappetite, headache, drymouth, dryeyes, dizzy, paranoid, pungent, skunk, flowery, hybrid"
alchemy,happy,euphoric,relaxed,hungry,talkative,stress,pain,depression,lackofappetite,headaches,dryeyes,drymouth,dizzy,none,none,honey,cheese,sweet,hybrid,"happy, euphoric, relaxed, hungry, talkative, stress, pain, depression, lackofappetite, headaches, dryeyes, drymouth, dizzy, none, none, honey, cheese, sweet, hybrid"
alf,relaxed,creative,euphoric,giggly,happy,depression,insomnia,musclespasms,stress,none,drymouth,none,none,none,none,coffee,diesel,pungent,hybrid,"relaxed, creative, euphoric, giggly, happy, depression, insomnia, musclespasms, stress, none, drymouth, none, none, none, none, coffee, diesel, pungent, hybrid"
alice in wonderland,focused,euphoric,relaxed,creative,happy,stress,depression,fatigue,headaches,nausea,drymouth,dryeyes,headache,anxious,paranoid,earthy,woody,ammonia,sativa,"focused, euphoric, relaxed, creative, happy, stress, depression, fatigue, headaches, nausea, drymouth, dryeyes, headache, anxious, paranoid, earthy, woody, ammonia, sativa"
alien abduction,relaxed,tingly,euphoric,happy,focused,stress,fatigue,headaches,insomnia,eyepressure,drymouth,dryeyes,anxious,dizzy,headache,earthy,nutty,sweet,hybrid,"relaxed, tingly, euphoric, happy, focused, stress, fatigue, headaches, insomnia, eyepressure, drymouth, dryeyes, anxious, dizzy, headache, earthy, nutty, sweet, hybrid"
alien apparition,hungry,euphoric,aroused,creative,energetic,stress,cramps,depression,eyepressure,fatigue,drymouth,none,none,none,none,sweet,orange,citrus,hybrid,"hungry, euphoric, aroused, creative, energetic, stress, cramps, depression, eyepressure, fatigue, drymouth, none, none, none, none, sweet, orange, citrus, hybrid"
alien asshat,relaxed,giggly,uplifted,happy,euphoric,stress,depression,pain,musclespasms,headaches,drymouth,anxious,dizzy,none,none,citrus,pungent,earthy,hybrid,"relaxed, giggly, uplifted, happy, euphoric, stress, depression, pain, musclespasms, headaches, drymouth, anxious, dizzy, none, none, citrus, pungent, earthy, hybrid"
alien breath,happy,relaxed,sleepy,euphoric,giggly,insomnia,stress,cramps,depression,headaches,dizzy,none,none,none,none,skunk,none,none,hybrid,"happy, relaxed, sleepy, euphoric, giggly, insomnia, stress, cramps, depression, headaches, dizzy, none, none, none, none, skunk, none, none, hybrid"
alien bubba,relaxed,sleepy,euphoric,happy,talkative,stress,pain,depression,insomnia,musclespasms,drymouth,headache,dryeyes,dizzy,anxious,earthy,flowery,sweet,indica,"relaxed, sleepy, euphoric, happy, talkative, stress, pain, depression, insomnia, musclespasms, drymouth, headache, dryeyes, dizzy, anxious, earthy, flowery, sweet, indica"
alien dawg,relaxed,sleepy,happy,hungry,euphoric,stress,fatigue,headaches,lackofappetite,insomnia,dizzy,dryeyes,headache,drymouth,paranoid,earthy,violet,flowery,indica,"relaxed, sleepy, happy, hungry, euphoric, stress, fatigue, headaches, lackofappetite, insomnia, dizzy, dryeyes, headache, drymouth, paranoid, earthy, violet, flowery, indica"
alien dutchess,uplifted,happy,energetic,euphoric,talkative,depression,pain,stress,fatigue,lackofappetite,drymouth,dryeyes,anxious,none,none,earthy,pine,lemon,sativa,"uplifted, happy, energetic, euphoric, talkative, depression, pain, stress, fatigue, lackofappetite, drymouth, dryeyes, anxious, none, none, earthy, pine, lemon, sativa"
alien hallucination,euphoric,happy,relaxed,uplifted,creative,stress,depression,musclespasms,pain,fatigue,drymouth,dryeyes,paranoid,anxious,dizzy,citrus,sweet,pungent,hybrid,"euphoric, happy, relaxed, uplifted, creative, stress, depression, musclespasms, pain, fatigue, drymouth, dryeyes, paranoid, anxious, dizzy, citrus, sweet, pungent, hybrid"
alien inferno,happy,euphoric,creative,uplifted,talkative,depression,stress,pain,fatigue,lackofappetite,drymouth,dryeyes,anxious,none,none,diesel,earthy,pungent,hybrid,"happy, euphoric, creative, uplifted, talkative, depression, stress, pain, fatigue, lackofappetite, drymouth, dryeyes, anxious, none, none, diesel, earthy, pungent, hybrid"
alien kush,relaxed,tingly,hungry,creative,happy,stress,pain,depression,lackofappetite,headaches,drymouth,paranoid,dizzy,anxious,dryeyes,sweet,earthy,woody,indica,"relaxed, tingly, hungry, creative, happy, stress, pain, depression, lackofappetite, headaches, drymouth, paranoid, dizzy, anxious, dryeyes, sweet, earthy, woody, indica"
alien og,relaxed,happy,euphoric,uplifted,creative,stress,pain,depression,insomnia,fatigue,drymouth,dryeyes,paranoid,dizzy,headache,earthy,pine,lemon,hybrid,"relaxed, happy, euphoric, uplifted, creative, stress, pain, depression, insomnia, fatigue, drymouth, dryeyes, paranoid, dizzy, headache, earthy, pine, lemon, hybrid"
alien reunion,euphoric,happy,relaxed,uplifted,creative,lackofappetite,headaches,inflammation,musclespasms,pain,drymouth,dizzy,dryeyes,headache,paranoid,pungent,skunk,cheese,hybrid,"euphoric, happy, relaxed, uplifted, creative, lackofappetite, headaches, inflammation, musclespasms, pain, drymouth, dizzy, dryeyes, headache, paranoid, pungent, skunk, cheese, hybrid"
alien rift,relaxed,happy,euphoric,hungry,uplifted,stress,insomnia,pain,nausea,lackofappetite,drymouth,anxious,paranoid,dryeyes,dizzy,earthy,lemon,sweet,indica,"relaxed, happy, euphoric, hungry, uplifted, stress, insomnia, pain, nausea, lackofappetite, drymouth, anxious, paranoid, dryeyes, dizzy, earthy, lemon, sweet, indica"
alien rock candy,happy,relaxed,euphoric,sleepy,uplifted,pain,stress,depression,insomnia,lackofappetite,drymouth,dryeyes,dizzy,paranoid,anxious,berry,citrus,blueberry,hybrid,"happy, relaxed, euphoric, sleepy, uplifted, pain, stress, depression, insomnia, lackofappetite, drymouth, dryeyes, dizzy, paranoid, anxious, berry, citrus, blueberry, hybrid"
alien sour apple,euphoric,creative,energetic,relaxed,uplifted,depression,pain,stress,insomnia,fatigue,drymouth,dryeyes,none,none,none,apple,sweet,citrus,hybrid,"euphoric, creative, energetic, relaxed, uplifted, depression, pain, stress, insomnia, fatigue, drymouth, dryeyes, none, none, none, apple, sweet, citrus, hybrid"
alien stardawg,happy,tingly,energetic,uplifted,relaxed,stress,depression,lackofappetite,inflammation,musclespasms,drymouth,none,none,none,none,pepper,citrus,diesel,sativa,"happy, tingly, energetic, uplifted, relaxed, stress, depression, lackofappetite, inflammation, musclespasms, drymouth, none, none, none, none, pepper, citrus, diesel, sativa"
alien technology,happy,euphoric,uplifted,creative,hungry,stress,lackofappetite,pain,headaches,depression,drymouth,anxious,dryeyes,headache,none,earthy,spicy/herbal,woody,indica,"happy, euphoric, uplifted, creative, hungry, stress, lackofappetite, pain, headaches, depression, drymouth, anxious, dryeyes, headache, none, earthy, spicy/herbal, woody, indica"
